json_speed, speed_ref, speed_throttle, speed_p_error, speed_i_error, speed_d_error
19.9305,20,0.176323,-0.0695,-502.636,0.0135,
19.9357,20,0.183605,-0.0643,-502.701,0.0052,
19.942,20,0.181265,-0.058,-502.759,0.0063,
19.9504,20,0.177503,-0.0496,-502.808,0.0084,
19.9592,20,0.175357,-0.0408,-502.849,0.0088,
19.9654,20,0.176729,-0.0346,-502.884,0.0062,
19.9688,20,0.17886,-0.0312,-502.915,0.0034,
19.9745,20,0.175429,-0.0255,-502.94,0.0057,
19.9795,20,0.175136,-0.0205,-502.961,0.005,
19.9853,20,0.173181,-0.0147,-502.975,0.0058,
19.9873,20,0.176586,-0.0127,-502.988,0.002,
19.9904,20,0.174869,-0.0096,-502.998,0.0031,
19.9932,20,0.174612,-0.0068,-503.005,0.0028,
19.9987,20,0.170812,-0.0013,-503.006,0.0055,
19.9999,20,0.174872,-0.0001,-503.006,0.0012,
20.0029,20,0.172471,0.0029,-503.003,0.003,
20.0035,20,0.17475,0.0035,-503,0.0006,
20.0078,20,0.170187,0.0078,-502.992,0.0043,
20.0083,20,0.173884,0.0083,-502.983,0.0005,
20.0113,20,0.17078,0.0113,-502.972,0.003,
20.0108,20,0.174376,0.0108,-502.961,-0.0005,
20.0142,20,0.169791,0.0142,-502.947,0.0034,
20.0148,20,0.172466,0.0148,-502.932,0.0006,
20.0161,20,0.171501,0.0161,-502.916,0.0013,
20.0162,20,0.172675,0.0162,-502.9,0.0001,
20.0179,20,0.170729,0.0179,-502.882,0.0017,
20.0193,20,0.170742,0.0193,-502.863,0.0014,
20.0193,20,0.172135,0.0193,-502.844,0,
20.0202,20,0.171048,0.0202,-502.823,0.0009,
20.0209,20,0.171101,0.0209,-502.802,0.0007,
20.0217,20,0.170833,0.0217,-502.781,0.0008,
20.0219,20,0.171386,0.0219,-502.759,0.0002,
20.0226,20,0.170738,0.0226,-502.736,0.0007,
20.0228,20,0.17119,0.0228,-502.713,0.0002,
20.0232,20,0.170902,0.0232,-502.69,0.0004,
20.0242,20,0.170093,0.0242,-502.666,0.001,
20.0244,20,0.170845,0.0244,-502.642,0.0002,
20.0242,20,0.171276,0.0242,-502.617,-0.0002,
20.0238,20,0.171548,0.0238,-502.594,-0.0004,
20.025,20,0.169699,0.025,-502.569,0.0012,
20.025,20,0.17089,0.025,-502.544,0,
20.0255,20,0.170281,0.0255,-502.518,0.0005,
20.0249,20,0.171493,0.0249,-502.493,-0.0006,
20.0251,20,0.170644,0.0251,-502.468,0.0002,
20.0258,20,0.169995,0.0258,-502.442,0.0007,
20.0249,20,0.171766,0.0249,-502.417,-0.0009,
20.0259,20,0.169657,0.0259,-502.392,0.001,
20.0246,20,0.172208,0.0246,-502.367,-0.0013,
20.0265,20,0.168619,0.0265,-502.34,0.0019,
20.0248,20,0.17255,0.0248,-502.316,-0.0017,
20.0268,20,0.168441,0.0268,-502.289,0.002,
20.0247,20,0.172952,0.0247,-502.264,-0.0021,
20.027,20,0.168083,0.027,-502.237,0.0023,
20.0248,20,0.173014,0.0248,-502.212,-0.0022,
20.0272,20,0.167925,0.0272,-502.185,0.0024,
20.0248,20,0.173196,0.0248,-502.16,-0.0024,
20.0274,20,0.167667,0.0274,-502.133,0.0026,
20.0257,20,0.172298,0.0257,-502.107,-0.0017,
20.0235,20,0.173229,0.0235,-502.084,-0.0022,
20.0265,20,0.16742,0.0265,-502.057,0.003,
20.0268,20,0.170051,0.0268,-502.03,0.0003,
20.0265,20,0.170701,0.0265,-502.004,-0.0003,
20.0251,20,0.172073,0.0251,-501.979,-0.0014,
20.025,20,0.170784,0.025,-501.954,-0.0001,
20.027,20,0.168274,0.027,-501.927,0.002,
20.0263,20,0.171105,0.0263,-501.901,-0.0007,
20.0261,20,0.170636,0.0261,-501.874,-0.0002,
20.0251,20,0.171627,0.0251,-501.849,-0.001,
20.0264,20,0.169058,0.0264,-501.823,0.0013,
20.0262,20,0.170589,0.0262,-501.797,-0.0002,
20.0264,20,0.17014,0.0264,-501.77,0.0002,
20.0262,20,0.17057,0.0262,-501.744,-0.0002,
20.0253,20,0.171442,0.0253,-501.719,-0.0009,
20.0254,20,0.170413,0.0254,-501.693,0.0001,
20.0265,20,0.169183,0.0265,-501.667,0.0011,
20.0261,20,0.170754,0.0261,-501.641,-0.0004,
20.0258,20,0.170705,0.0258,-501.615,-0.0003,
20.0254,20,0.170876,0.0254,-501.59,-0.0004,
20.0259,20,0.169867,0.0259,-501.564,0.0005,
20.0258,20,0.170478,0.0258,-501.538,-0.0001,
20.0261,20,0.170009,0.0261,-501.512,0.0003,
20.0247,20,0.17198,0.0247,-501.487,-0.0014,
20.0259,20,0.169131,0.0259,-501.461,0.0012,
20.0242,20,0.172363,0.0242,-501.437,-0.0017,
20.0264,20,0.168014,0.0264,-501.411,0.0022,
20.0241,20,0.172965,0.0241,-501.387,-0.0023,
20.0263,20,0.168016,0.0263,-501.36,0.0022,
20.0238,20,0.173208,0.0238,-501.336,-0.0025,
20.0265,20,0.167458,0.0265,-501.31,0.0027,
20.0238,20,0.17339,0.0238,-501.286,-0.0027,
20.0265,20,0.167441,0.0265,-501.26,0.0027,
20.0236,20,0.173613,0.0236,-501.236,-0.0029,
20.026,20,0.167823,0.026,-501.21,0.0024,
20.0244,20,0.172135,0.0244,-501.186,-0.0016,
20.0261,20,0.168486,0.0261,-501.16,0.0017,
20.0242,20,0.172457,0.0242,-501.135,-0.0019,
20.0252,20,0.169349,0.0252,-501.11,0.001,
20.0249,20,0.1707,0.0249,-501.085,-0.0003,
20.0256,20,0.169551,0.0256,-501.06,0.0007,
20.0242,20,0.171922,0.0242,-501.035,-0.0014,
20.0253,20,0.169194,0.0253,-501.01,0.0011,
20.0264,20,0.168964,0.0264,-500.984,0.0011,
20.026,20,0.170535,0.026,-500.958,-0.0004,
20.0245,20,0.171927,0.0245,-500.933,-0.0015,
20.0244,20,0.170538,0.0244,-500.909,-0.0001,
20.0242,20,0.17067,0.0242,-500.885,-0.0002,
20.0255,20,0.168901,0.0255,-500.859,0.0013,
20.0245,20,0.171392,0.0245,-500.835,-0.001,
20.0247,20,0.170143,0.0247,-500.81,0.0002,
20.0241,20,0.171055,0.0241,-500.786,-0.0006,
20.0249,20,0.169486,0.0249,-500.761,0.0008,
20.0244,20,0.170878,0.0244,-500.737,-0.0005,
20.0246,20,0.170129,0.0246,-500.712,0.0002,
20.0241,20,0.170921,0.0241,-500.688,-0.0005,
20.0245,20,0.169932,0.0245,-500.663,0.0004,
20.0244,20,0.170444,0.0244,-500.639,-0.0001,
20.0244,20,0.170335,0.0244,-500.615,0,
20.0241,20,0.170687,0.0241,-500.59,-0.0003,
20.0243,20,0.170138,0.0243,-500.566,0.0002,
20.0237,20,0.17105,0.0237,-500.542,-0.0006,
20.0246,20,0.169361,0.0246,-500.518,0.0009,
20.023,20,0.172173,0.023,-500.495,-0.0016,
20.0245,20,0.168765,0.0245,-500.47,0.0015,
20.0227,20,0.172417,0.0227,-500.448,-0.0018,
20.0249,20,0.167968,0.0249,-500.423,0.0022,
20.0226,20,0.17292,0.0226,-500.4,-0.0023,
20.0247,20,0.168091,0.0247,-500.375,0.0021,
20.0231,20,0.172103,0.0231,-500.352,-0.0016,
20.0241,20,0.169295,0.0241,-500.328,0.001,
20.0228,20,0.171847,0.0228,-500.305,-0.0013,
20.0239,20,0.169219,0.0239,-500.281,0.0011,
20.0235,20,0.17079,0.0235,-500.258,-0.0004,
20.0236,20,0.170262,0.0236,-500.234,0.0001,
20.023,20,0.171074,0.023,-500.211,-0.0006,
20.024,20,0.169266,0.024,-500.187,0.001,
20.0232,20,0.171217,0.0232,-500.164,-0.0008,
20.0237,20,0.169809,0.0237,-500.14,0.0005,
20.0229,20,0.171261,0.0229,-500.118,-0.0008,
20.0237,20,0.169493,0.0237,-500.094,0.0008,
20.023,20,0.171125,0.023,-500.071,-0.0007,
20.0237,20,0.169577,0.0237,-500.047,0.0007,
20.0229,20,0.171229,0.0229,-500.024,-0.0008,
20.0223,20,0.171141,0.0223,-500.002,-0.0006,
20.0236,20,0.168972,0.0236,-499.978,0.0013,
20.0233,20,0.170624,0.0233,-499.955,-0.0003,
20.0233,20,0.170316,0.0233,-499.932,0,
20.0224,20,0.171388,0.0224,-499.909,-0.0009,
20.0231,20,0.16964,0.0231,-499.886,0.0007,
20.023,20,0.170452,0.023,-499.863,-0.0001,
20.0233,20,0.169984,0.0233,-499.84,0.0003,
20.0226,20,0.171116,0.0226,-499.817,-0.0007,
20.0229,20,0.170048,0.0229,-499.794,0.0003,
20.0227,20,0.17058,0.0227,-499.772,-0.0002,
20.023,20,0.170012,0.023,-499.749,0.0003,
20.0227,20,0.170664,0.0227,-499.726,-0.0003,
20.0227,20,0.170356,0.0227,-499.703,0,
20.0227,20,0.170348,0.0227,-499.681,0,
20.0228,20,0.17022,0.0228,-499.658,0.0001,
20.0224,20,0.170792,0.0224,-499.635,-0.0004,
20.0223,20,0.170505,0.0223,-499.613,-0.0001,
20.0222,20,0.170517,0.0222,-499.591,-0.0001,
20.0234,20,0.168969,0.0234,-499.568,0.0012,
20.0231,20,0.170521,0.0231,-499.544,-0.0003,
20.021,20,0.172733,0.021,-499.523,-0.0021,
20.0206,20,0.171106,0.0206,-499.503,-0.0004,
20.0221,20,0.168898,0.0221,-499.481,0.0015,
20.0231,20,0.16919,0.0231,-499.458,0.001,
20.02,20,0.173903,0.02,-499.438,-0.0031,
20.019,20,0.171997,0.019,-499.419,-0.001,
20.0238,20,0.165228,0.0238,-499.395,0.0048,
20.0255,20,0.167979,0.0255,-499.369,0.0017,
20.0197,20,0.176632,0.0197,-499.35,-0.0058,
20.0205,20,0.169865,0.0205,-499.329,0.0008,
20.0203,20,0.170898,0.0203,-499.309,-0.0002,
20.0249,20,0.165169,0.0249,-499.284,0.0046,
20.0208,20,0.174682,0.0208,-499.263,-0.0041,
20.0221,20,0.169014,0.0221,-499.241,0.0013,
20.0195,20,0.173428,0.0195,-499.222,-0.0026,
20.0239,20,0.165539,0.0239,-499.198,0.0044,
20.0264,20,0.16693,0.0264,-499.171,0.0025,
20.0246,20,0.171581,0.0246,-499.147,-0.0018,
20.0175,20,0.178295,0.0175,-499.129,-0.0071,
20.0223,20,0.165427,0.0223,-499.107,0.0048,
20.0228,20,0.169619,0.0228,-499.084,0.0005,
20.0256,20,0.16675,0.0256,-499.058,0.0028,
20.0194,20,0.176984,0.0194,-499.039,-0.0062,
20.022,20,0.167656,0.022,-499.017,0.0026,
20.0208,20,0.171689,0.0208,-498.996,-0.0012,
20.0249,20,0.16556,0.0249,-498.971,0.0041,
20.0204,20,0.175053,0.0204,-498.951,-0.0045,
20.0223,20,0.168265,0.0223,-498.929,0.0019,
20.0199,20,0.173038,0.0199,-498.909,-0.0024,
20.0238,20,0.16595,0.0238,-498.885,0.0039,
20.0217,20,0.172362,0.0217,-498.863,-0.0021,
20.0217,20,0.170255,0.0217,-498.842,0,
20.02,20,0.172288,0.02,-498.822,-0.0017,
20.022,20,0.16818,0.022,-498.8,0.002,
20.0218,20,0.170412,0.0218,-498.778,-0.0002,
20.0214,20,0.170685,0.0214,-498.756,-0.0004,
20.0201,20,0.171838,0.0201,-498.736,-0.0013,
20.0217,20,0.16861,0.0217,-498.715,0.0016,
20.0207,20,0.171403,0.0207,-498.694,-0.001,
20.0218,20,0.169075,0.0218,-498.672,0.0011,
20.0201,20,0.172208,0.0201,-498.652,-0.0017,
20.0215,20,0.168821,0.0215,-498.63,0.0014,
20.0203,20,0.171654,0.0203,-498.61,-0.0012,
20.0198,20,0.171047,0.0198,-498.59,-0.0005,
20.0226,20,0.167179,0.0226,-498.568,0.0028,
20.0211,20,0.171771,0.0211,-498.547,-0.0015,
20.0212,20,0.170144,0.0212,-498.525,0.0001,
20.022,20,0.169276,0.022,-498.503,0.0008,
20.02,20,0.172469,0.02,-498.483,-0.002,
20.0211,20,0.169142,0.0211,-498.462,0.0011,
20.0205,20,0.170955,0.0205,-498.442,-0.0006,
20.0217,20,0.168907,0.0217,-498.42,0.0012,
20.0201,20,0.17202,0.0201,-498.4,-0.0016,
20.0209,20,0.169453,0.0209,-498.379,0.0008,
20.0201,20,0.171206,0.0201,-498.359,-0.0008,
20.0212,20,0.169078,0.0212,-498.338,0.0011,
20.0202,20,0.171371,0.0202,-498.318,-0.001,
20.0207,20,0.169764,0.0207,-498.297,0.0005,
20.02,20,0.171097,0.02,-498.277,-0.0007,
20.0208,20,0.16943,0.0208,-498.256,0.0008,
20.0201,20,0.171063,0.0201,-498.236,-0.0007,
20.0205,20,0.169875,0.0205,-498.216,0.0004,
20.0211,20,0.169548,0.0211,-498.194,0.0006,
20.0193,20,0.172301,0.0193,-498.175,-0.0018,
20.0182,20,0.171815,0.0182,-498.157,-0.0011,
20.0186,20,0.170228,0.0186,-498.138,0.0004,
20.0214,20,0.167261,0.0214,-498.117,0.0028,
20.0214,20,0.170053,0.0214,-498.096,0,
20.0195,20,0.172327,0.0195,-498.076,-0.0019,
20.0175,20,0.172821,0.0175,-498.059,-0.002,
20.0176,20,0.170694,0.0176,-498.041,0.0001,
20.0205,20,0.167307,0.0205,-498.02,0.0029,
20.0211,20,0.16948,0.0211,-497.999,0.0006,
20.0169,20,0.175114,0.0169,-497.982,-0.0042,
20.016,20,0.171988,0.016,-497.966,-0.0009,
20.0197,20,0.166641,0.0197,-497.947,0.0037,
20.0206,20,0.169254,0.0206,-497.926,0.0009,
20.0219,20,0.168587,0.0219,-497.904,0.0013,
20.017,20,0.175761,0.017,-497.887,-0.0049,
20.0196,20,0.167734,0.0196,-497.868,0.0026,
20.0187,20,0.171407,0.0187,-497.849,-0.0009,
20.0168,20,0.172781,0.0168,-497.832,-0.0019,
20.0215,20,0.165234,0.0215,-497.811,0.0047,
20.0188,20,0.173167,0.0188,-497.792,-0.0027,
20.0204,20,0.16854,0.0204,-497.771,0.0016,
20.0169,20,0.174334,0.0169,-497.755,-0.0035,
20.0208,20,0.166147,0.0208,-497.734,0.0039,
20.0183,20,0.17304,0.0183,-497.715,-0.0025,
20.021,20,0.167293,0.021,-497.694,0.0027,
20.0172,20,0.174547,0.0172,-497.677,-0.0038,
20.0205,20,0.16678,0.0205,-497.657,0.0033,
20.0179,20,0.173194,0.0179,-497.639,-0.0026,
20.0206,20,0.167346,0.0206,-497.618,0.0027,
20.0207,20,0.169919,0.0207,-497.598,0.0001,
20.0167,20,0.174813,0.0167,-497.581,-0.004,
20.0163,20,0.171288,0.0163,-497.565,-0.0004,
20.0197,20,0.166801,0.0197,-497.545,0.0034,
20.0213,20,0.168273,0.0213,-497.524,0.0016,
20.0179,20,0.173947,0.0179,-497.506,-0.0034,
20.0173,20,0.171261,0.0173,-497.488,-0.0006,
20.0186,20,0.169094,0.0186,-497.47,0.0013,
20.0202,20,0.168467,0.0202,-497.45,0.0016,
20.0186,20,0.171981,0.0186,-497.431,-0.0016,
20.0183,20,0.170734,0.0183,-497.413,-0.0003,
20.0188,20,0.169828,0.0188,-497.394,0.0005,
20.0178,20,0.171522,0.0178,-497.376,-0.001,
20.0188,20,0.169315,0.0188,-497.357,0.001,
20.018,20,0.171269,0.018,-497.339,-0.0008,
20.019,20,0.169262,0.019,-497.32,0.001,
20.0176,20,0.171936,0.0176,-497.303,-0.0014,
20.019,20,0.168849,0.019,-497.284,0.0014,
20.0176,20,0.171923,0.0176,-497.266,-0.0014,
20.019,20,0.168836,0.019,-497.247,0.0014,
20.0177,20,0.17179,0.0177,-497.229,-0.0013,
20.0176,20,0.170604,0.0176,-497.212,-0.0001,
20.0171,20,0.171098,0.0171,-497.195,-0.0005,
20.0174,20,0.170232,0.0174,-497.177,0.0003,
20.0138,20,0.174847,0.0138,-497.163,-0.0036,
20.0173,20,0.167041,0.0173,-497.146,0.0035,
20.0146,20,0.173776,0.0146,-497.132,-0.0027,
20.0189,20,0.165909,0.0189,-497.113,0.0043,
20.0142,20,0.175844,0.0142,-497.098,-0.0047,
20.0177,20,0.166938,0.0177,-497.081,0.0035,
20.0155,20,0.173073,0.0155,-497.065,-0.0022,
20.0186,20,0.167146,0.0186,-497.047,0.0031,
20.0157,20,0.173721,0.0157,-497.031,-0.0029,
20.015,20,0.171656,0.015,-497.016,-0.0007,
20.0184,20,0.166869,0.0184,-496.998,0.0034,
20.0216,20,0.166422,0.0216,-496.976,0.0032,
20.0169,20,0.175256,0.0169,-496.959,-0.0047,
20.0172,20,0.17019,0.0172,-496.942,0.0003,
20.0164,20,0.171444,0.0164,-496.925,-0.0008,
20.0204,20,0.165837,0.0204,-496.905,0.004,
20.0176,20,0.173191,0.0176,-496.887,-0.0028,
20.0184,20,0.169424,0.0184,-496.869,0.0008,
20.0192,20,0.169257,0.0192,-496.85,0.0008,
20.0184,20,0.171011,0.0184,-496.831,-0.0008,
20.0143,20,0.175126,0.0143,-496.817,-0.0041,
20.0179,20,0.1667,0.0179,-496.799,0.0036,
20.0174,20,0.170894,0.0174,-496.782,-0.0005,
20.0194,20,0.167987,0.0194,-496.762,0.002,
20.0135,20,0.177062,0.0135,-496.749,-0.0059,
20.0176,20,0.166236,0.0176,-496.731,0.0041,
20.0147,20,0.173811,0.0147,-496.717,-0.0029,
20.0199,20,0.164664,0.0199,-496.697,0.0052,
20.014,20,0.176939,0.014,-496.683,-0.0059,
20.0186,20,0.165512,0.0186,-496.664,0.0046,
20.014,20,0.175628,0.014,-496.65,-0.0046,
20.0201,20,0.163701,0.0201,-496.63,0.0061,
20.0145,20,0.176515,0.0145,-496.616,-0.0056,
20.0183,20,0.166349,0.0183,-496.597,0.0038,
20.0154,20,0.173624,0.0154,-496.582,-0.0029,
20.0191,20,0.166277,0.0191,-496.563,0.0037,
20.0161,20,0.173571,0.0161,-496.547,-0.003,
20.0174,20,0.169005,0.0174,-496.529,0.0013,
20.0168,20,0.171019,0.0168,-496.512,-0.0006,
20.0182,20,0.168733,0.0182,-496.494,0.0014,
20.0162,20,0.172527,0.0162,-496.478,-0.002,
20.0177,20,0.168721,0.0177,-496.46,0.0015,
20.0184,20,0.169375,0.0184,-496.442,0.0007,
20.0156,20,0.173429,0.0156,-496.426,-0.0028,
20.0165,20,0.169543,0.0165,-496.41,0.0009,
20.0165,20,0.170438,0.0165,-496.393,0,
20.018,20,0.168631,0.018,-496.375,0.0015,
20.0165,20,0.171926,0.0165,-496.359,-0.0015,
20.0164,20,0.17054,0.0164,-496.342,-0.0001,
20.0133,20,0.174155,0.0133,-496.329,-0.0031,
20.017,20,0.166609,0.017,-496.312,0.0037,
20.0119,20,0.176425,0.0119,-496.3,-0.0051,
20.0168,20,0.165439,0.0168,-496.283,0.0049,
20.011,20,0.177295,0.011,-496.272,-0.0058,
20.0178,20,0.163329,0.0178,-496.255,0.0068,
20.0113,20,0.177925,0.0113,-496.243,-0.0065,
20.0183,20,0.163019,0.0183,-496.225,0.007,
20.0111,20,0.178655,0.0111,-496.214,-0.0072,
20.0188,20,0.162208,0.0188,-496.195,0.0077,
20.0118,20,0.178304,0.0118,-496.183,-0.007,
20.0179,20,0.163978,0.0179,-496.165,0.0061,
20.0128,20,0.176193,0.0128,-496.153,-0.0051,
20.0186,20,0.164127,0.0186,-496.134,0.0058,
20.0137,20,0.175802,0.0137,-496.12,-0.0049,
20.0173,20,0.166576,0.0173,-496.103,0.0036,
20.0185,20,0.16873,0.0185,-496.085,0.0012,
20.0114,20,0.178446,0.0114,-496.073,-0.0071,
20.0155,20,0.16642,0.0155,-496.058,0.0041,
20.0145,20,0.171715,0.0145,-496.043,-0.001,
20.0193,20,0.164948,0.0193,-496.024,0.0048,
20.0137,20,0.176464,0.0137,-496.01,-0.0056,
20.0164,20,0.167618,0.0164,-495.994,0.0027,
20.0139,20,0.173313,0.0139,-495.98,-0.0025,
20.0186,20,0.165166,0.0186,-495.961,0.0047,
20.0147,20,0.174541,0.0147,-495.947,-0.0039,
20.0171,20,0.167755,0.0171,-495.929,0.0024,
20.014,20,0.17387,0.014,-495.915,-0.0031,
20.0178,20,0.166204,0.0178,-495.898,0.0038,
20.0151,20,0.173239,0.0151,-495.883,-0.0027,
20.0173,20,0.167893,0.0173,-495.865,0.0022,
20.0144,20,0.173568,0.0144,-495.851,-0.0029,
20.0171,20,0.167422,0.0171,-495.834,0.0027,
20.0152,20,0.172397,0.0152,-495.819,-0.0019,
20.0171,20,0.168211,0.0171,-495.801,0.0019,
20.0153,20,0.172265,0.0153,-495.786,-0.0018,
20.016,20,0.16962,0.016,-495.77,0.0007,
20.0161,20,0.170194,0.0161,-495.754,0.0001,
20.0172,20,0.168968,0.0172,-495.737,0.0011,
20.0145,20,0.173303,0.0145,-495.722,-0.0027,
20.0177,20,0.166757,0.0177,-495.705,0.0032,
20.0134,20,0.175112,0.0134,-495.691,-0.0043,
20.018,20,0.165286,0.018,-495.673,0.0046,
20.0143,20,0.174321,0.0143,-495.659,-0.0037,
20.0126,20,0.172656,0.0126,-495.646,-0.0017,
20.0162,20,0.166631,0.0162,-495.63,0.0036,
20.0176,20,0.168544,0.0176,-495.613,0.0014,
20.0187,20,0.168618,0.0187,-495.594,0.0011,
20.0137,20,0.175713,0.0137,-495.58,-0.005,
20.0133,20,0.171188,0.0133,-495.567,-0.0004,
20.0153,20,0.168383,0.0153,-495.552,0.002,
20.016,20,0.169537,0.016,-495.536,0.0007,
20.0153,20,0.171072,0.0153,-495.52,-0.0007,
20.0132,20,0.172887,0.0132,-495.507,-0.0021,
20.0152,20,0.168382,0.0152,-495.492,0.002,
20.0147,20,0.170977,0.0147,-495.477,-0.0005,
20.0161,20,0.168791,0.0161,-495.461,0.0014,
20.0135,20,0.173307,0.0135,-495.448,-0.0026,
20.0155,20,0.168301,0.0155,-495.432,0.002,
20.0151,20,0.170776,0.0151,-495.417,-0.0004,
20.0144,20,0.171211,0.0144,-495.403,-0.0007,
20.015,20,0.169786,0.015,-495.388,0.0006,
20.0144,20,0.171101,0.0144,-495.373,-0.0006,
20.0163,20,0.168215,0.0163,-495.357,0.0019,
20.0139,20,0.17299,0.0139,-495.343,-0.0024,
20.0142,20,0.170225,0.0142,-495.329,0.0003,
20.0106,20,0.174841,0.0106,-495.318,-0.0036,
20.0064,20,0.176279,0.0064,-495.312,-0.0042,
20.0099,20,0.167876,0.0099,-495.302,0.0035,
20.0069,20,0.174973,0.0069,-495.295,-0.003,
20.0099,20,0.16837,0.0099,-495.285,0.003,
20.0105,20,0.170646,0.0105,-495.275,0.0006,
20.0034,20,0.179765,0.0034,-495.271,-0.0071,
20.0101,20,0.164621,0.0101,-495.261,0.0067,
20.0076,20,0.174319,0.0076,-495.253,-0.0025,
20.0138,20,0.164374,0.0138,-495.24,0.0062,
20.0054,20,0.180652,0.0054,-495.234,-0.0084,
20.0126,20,0.163608,0.0126,-495.222,0.0072,
20.0075,20,0.176925,0.0075,-495.214,-0.0051,
20.0165,20,0.161019,0.0165,-495.198,0.009,
20.0081,20,0.180096,0.0081,-495.19,-0.0084,
20.0167,20,0.161371,0.0167,-495.173,0.0086,
20.014,20,0.173206,0.014,-495.159,-0.0027,
20.0033,20,0.183344,0.0033,-495.156,-0.0107,
20.0109,20,0.163521,0.0109,-495.145,0.0076,
20.0149,20,0.166315,0.0149,-495.13,0.004,
20.0158,20,0.16923,0.0158,-495.114,0.0009,
20.0107,20,0.176246,0.0107,-495.103,-0.0051,
20.0093,20,0.172823,0.0093,-495.094,-0.0014,
20.0134,20,0.166498,0.0134,-495.081,0.0041,
20.0131,20,0.170954,0.0131,-495.067,-0.0003,
20.0132,20,0.170529,0.0132,-495.054,0.0001,
20.0099,20,0.174586,0.0099,-495.044,-0.0033,
