json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-2.5284,0.5371,-0.091568,0.5371,545.233,0.0486,
-1.9757,0.5845,-0.09416,0.5845,545.818,0.0474,
-1.8529,0.6056,-0.069548,0.6056,546.423,0.0211,
-1.9177,0.6127,-0.056116,0.6127,547.036,0.0071,
-1.3024,0.6005,-0.03584,0.6005,547.637,-0.0122,
-0.9666,0.5759,-0.021472,0.5759,548.213,-0.0246,
-0.4597,0.5394,-0.006652,0.5394,548.752,-0.0365,
-0.1005,0.4855,0.01506,0.4855,549.237,-0.0539,
0.27,0.4674,-0.019292,0.4674,549.705,-0.0181,
0.8128,0.4452,-0.013416,0.4452,550.15,-0.0222,
-0.046,0.4245,-0.01326,0.4245,550.575,-0.0207,
0.1009,0.392,0.00114,0.392,550.967,-0.0325,
0.1048,0.3649,-0.002092,0.3649,551.331,-0.0271,
