json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-4.3971,0.8628,-0.125224,0.8628,102.609,0.0562,
-3.1744,1.0105,-0.22854,1.0105,103.619,0.1477,
-2.6943,1.2785,-0.37028,1.2785,104.898,0.268,
-5.2772,1.4423,-0.279184,1.4423,106.34,0.1638,
-8.8207,1.5586,-0.240988,1.5586,107.898,0.1163,
-6.5433,1.6215,-0.19262,1.6215,109.52,0.0629,
-5.5884,1.6307,-0.139656,1.6307,111.151,0.0092,
-4.3792,1.5615,-0.05572,1.5615,112.712,-0.0692,
-3.0551,1.4518,-0.006444,1.4518,114.164,-0.1097,
-0.9567,1.3002,0.047584,1.3002,115.464,-0.1516,
0.2752,1.1449,0.063708,1.1449,116.609,-0.1553,
1.6259,1.1651,-0.113408,1.1651,117.774,0.0202,
2.029,1.1858,-0.115564,1.1858,118.96,0.0207,
-2.3989,1.1811,-0.089788,1.1811,120.141,-0.0047,
-2.4528,1.1542,-0.065436,1.1542,121.295,-0.0269,
-1.8084,1.1057,-0.039956,1.1057,122.401,-0.0485,
-1.1996,1.0109,0.013928,1.0109,123.412,-0.0948,
-0.5626,0.9999,-0.068992,0.9999,124.412,-0.011,
0.7845,1.0672,-0.152676,1.0672,125.479,0.0673,
-1.2885,1.1388,-0.162704,1.1388,126.618,0.0716,
-3.3806,1.1717,-0.126636,1.1717,127.789,0.0329,
-3.6313,1.1808,-0.103564,1.1808,128.97,0.0091,
-2.7296,1.1651,-0.077508,1.1651,130.135,-0.0157,
-2.1528,1.1253,-0.050224,1.1253,131.261,-0.0398,
-1.5014,1.0629,-0.022632,1.0629,132.324,-0.0624,
-0.8193,0.9488,0.038196,0.9488,133.272,-0.1141,
-0.1295,0.8436,0.037712,0.8436,134.116,-0.1052,
1.3912,0.7413,0.042996,0.7413,134.857,-0.1023,
1.3791,0.9325,-0.2658,0.9325,135.79,0.1912,
1.5112,1.0828,-0.236924,1.0828,136.873,0.1503,
-6.2087,1.3543,-0.379844,1.3543,138.227,0.2715,
-5.4868,1.5214,-0.288812,1.5214,139.748,0.1671,
-9.0598,1.6443,-0.254444,1.6443,141.393,0.1229,
-6.784,1.7159,-0.208872,1.7159,143.108,0.0716,
-5.9248,1.7351,-0.158008,1.7351,144.844,0.0192,
-4.7855,1.7075,-0.109,1.7075,146.551,-0.0276,
-3.5139,1.7454,-0.177532,1.7454,148.296,0.0379,
-2.2887,1.7487,-0.143196,1.7487,150.045,0.0033,
-4.002,1.7065,-0.09432,1.7065,151.752,-0.0422,
-3.1436,1.6197,-0.042776,1.6197,153.371,-0.0868,
-1.9217,1.4925,0.0078,1.4925,154.864,-0.1272,
-0.6331,1.331,0.05502,1.331,156.195,-0.1615,
0.6313,1.3047,-0.078076,1.3047,157.5,-0.0263,
1.8118,1.3971,-0.204168,1.3971,158.897,0.0924,
-1.5156,1.493,-0.21534,1.493,160.39,0.0959,
-4.6679,1.5342,-0.163936,1.5342,161.924,0.0412,
-4.9472,1.5412,-0.130296,1.5412,163.465,0.007,
-3.6621,1.513,-0.09284,1.513,164.978,-0.0282,
-2.8211,1.4509,-0.053972,1.4509,166.429,-0.0621,
-1.8847,1.3201,0.025192,1.3201,167.749,-0.1308,
-0.913,1.19,0.0349,1.19,168.939,-0.1301,
1.0661,1.0402,0.066584,1.0402,169.979,-0.1498,
1.3088,0.8792,0.090664,0.8792,170.858,-0.161,
2.1009,0.848,-0.03664,0.848,171.706,-0.0312,
2.7029,0.9554,-0.183832,0.9554,172.662,0.1074,
-0.4797,1.0611,-0.190588,1.0611,173.723,0.1057,
-4.1595,1.1807,-0.214056,1.1807,174.904,0.1196,
-4.3284,1.2446,-0.163468,1.2446,176.148,0.0639,
-4.9151,1.2801,-0.137908,1.2801,177.428,0.0355,
-3.6504,1.2853,-0.108024,1.2853,178.714,0.0052,
-3.0114,1.2602,-0.075716,1.2602,179.974,-0.0251,
-2.2643,1.2061,-0.042388,1.2061,181.18,-0.0541,
-1.4566,1.1351,-0.019808,1.1351,182.315,-0.071,
-0.6234,1.1325,-0.088,1.1325,183.448,-0.0026,
-0.0589,1.1269,-0.084552,1.1269,184.574,-0.0056,
-1.7637,1.1016,-0.062828,1.1016,185.676,-0.0253,
-1.6775,1.0357,-0.016956,1.0357,186.712,-0.0659,
-1.1344,0.9636,-0.004988,0.9636,187.675,-0.0721,
0.0124,0.8808,0.012336,0.8808,188.556,-0.0828,
0.3116,0.918,-0.11064,0.918,189.474,0.0372,
0.7447,0.9958,-0.157464,0.9958,190.47,0.0778,
-2.3297,1.0611,-0.150188,1.0611,191.531,0.0653,
-3.5003,1.1176,-0.145908,1.1176,192.649,0.0565,
-3.3184,1.1326,-0.105608,1.1326,193.781,0.015,
-3.2114,1.1218,-0.078944,1.1218,194.903,-0.0108,
-2.2039,1.0857,-0.050756,1.0857,195.989,-0.0361,
-1.5373,1.0261,-0.022488,1.0261,197.015,-0.0596,
-0.8326,0.9146,0.038332,0.9146,197.93,-0.1115,
-0.1259,0.811,0.03872,0.811,198.741,-0.1036,
1.3946,0.6965,0.05878,0.6965,199.437,-0.1145,
1.4043,0.5352,0.118484,0.5352,199.972,-0.1613,
1.9058,0.4488,0.050496,0.4488,200.421,-0.0864,
